Video_ID,Komentar,Jumlah_Suka
lslu0_8OynQ,kukira tentara takut pki,0
lslu0_8OynQ,"Kritik,lewat kaya film...lanjut Ken Bung Dandy Laksono ♥️🇮🇩",1
lslu0_8OynQ,"Kalo judulnya Salib Merah, lebih gampang digocek sebagai film ""kristenisasi"" dll. dst. Dan ketebak kan siapa yang akan bubarin LOL",1
lslu0_8OynQ,"Bang,klau gibran yg nonton aq kok nggak yakin klau dia  paham/ mengerti alur ceritanya.klau ba2r  bls nggak paham aq 99,9,% percaya.coba di kasih mainan Lego atau mobil2lan,nah... bakalan anteng dia.",1
lslu0_8OynQ,Semoga ada pahlawan utk mengembalikan cita2 para pejuang... Utk mensejahterakan seluruh rakyat indonesia,0
lslu0_8OynQ,Program pemerintah yang terus upgrade bantu banget atasi kesulitan warga,0
lslu0_8OynQ,Suara kebenaran dan ketidakadilan dari Papua harus diteruskan,0
lslu0_8OynQ,Tempo masih lumayan 🤣🤣,0
lslu0_8OynQ,"Harusnya tni nga perlu melakukan pelarangan  nobar film pesta babi,karena itu malah jadi promosi gratis,karena yg saya tahu fil yg dibuat sama mas dandy nga ngefek buat rakyat indonesia, buktinya waktu tahun 2019 dan 2024 ada penayangan film sexy killer dan dirty vote,yg menang pilpres tetap jokowi dan prabowo.",0
lslu0_8OynQ,Orang2 hebat di video ini,0
